Plot,Observed,Predicted
0,0.692307692,0.66902834
1,0.4,0.32277834
2,0.173913043,0.43159035
3,0.538461538,0.404894
4,0.315789474,0.37424082
5,0.8,0.6568848
6,0.277777778,0.43408757
7,0.32,0.35560066
8,0,0.092493564
9,0.333333333,0.33884853
10,0.318181818,0.42444244
11,0.285714286,0.27526468
12,0.038461538,0.071337074
13,0.28,0.34708723
14,0.8,0.61159986
15,0.217391304,0.27382785
16,0,0.38559476
17,0.8,0.6179339
18,0.428571429,0.42417088
19,0.904761905,0.69384134
20,0.647058824,0.7248861
21,0.6,0.7114429
22,0.05,0.2056647
23,0.470588235,0.33468074
24,0.769230769,0.7655097
25,0,0.47744203
26,0.769230769,0.5864449
27,0.28,0.3691316
28,0,0.28801468
29,0.95,0.79833025
30,0.6,0.6473427
31,0.090909091,0.30348808
32,0.6,0.5580165
33,0.210526316,0.3478892
34,0.210526316,0.12545824
35,0.529411765,0.52581143
36,0.615384615,0.54231125
37,1,0.78761435
38,0.214285714,0.18632114
39,0.52173913,0.49625692
40,0.333333333,0.4197299
41,0.705882353,0.2855643
42,0.52173913,0.47259277
43,0.875,0.6748005
44,0.074074074,0.306911
45,0.294117647,0.35810545
46,0.285714286,0.40572867
47,0.466666667,0.33486605
48,0.136363636,0.34943375
49,0.333333333,0.2008852
50,0.166666667,0.26459387
51,0.807692308,0.56214845
52,0.266666667,0.45329908
53,0.041666667,0.3165249
54,0.4,0.38541812
55,0.1,0.63242316
56,0.210526316,0.45351216
57,0.588235294,0.4294172
58,0.666666667,0.40875545
59,0.862068966,0.6510301
60,0.75,0.6158796
61,0.88,0.8396136
62,0.722222222,0.5570561
63,0.714285714,0.7377056
64,0.684210526,0.6514121
65,0.368421053,0.4575852
66,0.1,0.2489661
67,0.318181818,0.5220902
68,0,0.17495593
69,0,0.059213955
70,0.56097561,0.6332679
71,0.8,0.65320534
72,0.44,0.3760911
73,0.363636364,0.51283216
74,0.210526316,0.43196392
75,1,0.7500384
76,0.210526316,0.68087554
77,0.25,0.37011188
78,0.25,0.41352716
79,0,0.22586448
80,0.8,0.4916076
81,0.736842105,0.42963538
82,0.733333333,0.4618365
83,0.25,0.6054209
84,0.2,0.22565861
85,0.793103448,0.6098756
86,0.222222222,0.44760534
87,0.214285714,0.40901706
88,0.263157895,0.16356218
89,0.894736842,0.58217204
90,0.515151515,0.5790288
91,0,0.26863852
92,0.421052632,0.20401347
93,0.95,0.7925416
94,0.8125,0.4865759
95,0.913043478,0.5405463
96,0.071428571,0.31401226
97,0.08,0.41350457
98,0.333333333,0.2648333
99,0,0.6016486
100,0.1875,0.3993821
101,0.25,0.3609836
102,0.833333333,0.7074637
103,0.041666667,0.091792986
104,0.136363636,0.39400277
105,0.15,0.29190966
106,0.4,0.4323078
107,0.5,0.61394244
108,0.428571429,0.36993042
109,0.3125,0.38170063
110,0.555555556,0.30752766
111,0.555555556,0.6216109
112,0.466666667,0.247736
113,0,0.18246125
114,0.8,0.7000308
115,0.6,0.40223148
116,0.277777778,0.26745403
117,0.137931034,0.4368869
118,0.24,0.22392528
119,0.32,0.31434718
120,0.333333333,0.24283639
121,0.142857143,0.19474693
122,0.8,0.6121013
123,0.055555556,0.1415826
124,0.409090909,0.37773165
125,0,0.2653514
126,1,0.81709313
127,0,0.4084361
128,0.357142857,0.41118458
129,0.2,0.14183742
130,0.466666667,0.27833557
131,0.714285714,0.54261744
132,0.882352941,0.8653416
133,0.105263158,0.12163269
134,0.785714286,0.7974267
135,0.294117647,0.5667412
136,0.5,0.33053917
137,0.1875,0.52860284
138,0.47826087,0.37128395
139,0.3125,0.4494101
140,0.518518519,0.6784404
141,0,0.103629634
142,0.761904762,0.52908456
143,0.166666667,0.3929785
144,0.565217391,0.37214682
145,0.285714286,0.3140116
146,0.375,0.5172005
147,0.235294118,0.29533646
148,1,0.7436122
149,0.64,0.573973
150,0.571428571,0.6556739
151,0.277777778,0.339656
152,0,0.0740636
153,0.764705882,0.6065783
154,0.523809524,0.30431685
155,0.838709677,0.69518894
156,0.64,0.4897422
157,0.28,0.38575888
158,0.777777778,0.47605714
159,1,0.81860375
160,0.466666667,0.37467158
161,0.04,0.4205421
162,0.592592593,0.41305947
163,0.722222222,0.54659235
164,0,0.062982626
165,0.095238095,0.32604474
166,0.173913043,0.048356537
167,0,0.25132176
168,0.428571429,0.44605392
169,0.25,0.4068498
170,0,0.31012404
171,0.25,0.29538384
172,0.19047619,0.26304406
173,0.166666667,0.23075575
174,0.538461538,0.48952916
175,0.05,0.18535066
176,0.181818182,0.42018825
177,0.047619048,0.1624126
178,0.692307692,0.7126973
179,0.407407407,0.5542017
180,0.5,0.66595393
181,0.222222222,0.10929516
182,0,0.30643338
183,0.733333333,0.67510015
184,0.666666667,0.38731912
185,0.75,0.6884968
186,0.6875,0.41445634
187,0.285714286,0.44615
188,0.3125,0.059806235
189,0.388888889,0.4646238
190,0,0.4008158
191,0.692307692,0.5895752
192,0.857142857,0.4999305
193,0.368421053,0.5386692
194,0.4,0.23254493
195,0,0.38070837
196,0.5,0.5676972
197,0.222222222,0.3879128
198,0,0.16535264
199,0.416666667,0.30917567
200,1,0.8195599
201,0.1875,0.12654844
202,0.448275862,0.29643416
203,0.611111111,0.51469475
204,0.214285714,0.2576741
205,0.875,0.7292019
206,0.428571429,0.31921157
207,0.333333333,0.40661454
208,0.333333333,0.3753244
209,0.761904762,0.45635253
210,1,0.63232756
211,0.4,0.39867768
212,0.421052632,0.6020505
213,0.32,0.48938835
214,0.076923077,0.3699204
215,0.055555556,0.12389293
216,0.444444444,0.4265343
217,0.875,0.66810876
218,0.714285714,0.566504
219,0,0.13351727
220,0.37037037,0.568735
221,0.352941176,0.114649534
222,0.45,0.40796676
223,0.818181818,0.63266605
224,0.363636364,0.5530793
225,0.1,0.17765832
226,0.136363636,0.35110855
227,0.153846154,0.17764491
228,1,0.6173983
229,0.476190476,0.56028265
230,0.142857143,0.2379956
231,0.217391304,0.43216252
232,0.941176471,0.66238165
233,0.523809524,0.62891793
234,0.071428571,0.34488106
235,0.764705882,0.5935454
236,0.291666667,0.28866243
237,0.25,0.10702201
238,0.294117647,0.28195655
239,0.611111111,0.56029344
240,0.269230769,0.3923816
241,0.391304348,0.7340823
242,0.692307692,0.69551975
243,0.3125,0.2677525
244,0.375,0.48382565
245,0.714285714,0.566504
246,0.352941176,0.36121926
247,0.5,0.4781383
248,0.153846154,0.39029157
249,0.318181818,0.41059074
250,0,-0.001256235
251,0.2,0.28329533
252,0.3125,0.38153124
253,0.090909091,0.21538882
254,0.058823529,0.17168888
255,0.275862069,0.5983048
256,0.066666667,0.28635997
257,0.217391304,0.6232997
258,0.85,0.73687506
259,0.714285714,0.69485325
260,0.058823529,0.2122737
261,0.888888889,0.8038456
262,0.076923077,0.2823097
263,0.88,0.6687093
264,0.166666667,0.4432561
265,0.652173913,0.6977148
266,1,0.79915863
267,0.476190476,0.40285107
268,0,0.17896596
269,0.076923077,0.67736506
270,0.666666667,0.6962353
271,0.833333333,0.6225847
272,0.4,0.74691975
273,0.2,0.23633361
274,0.619047619,0.6893844
275,0.933333333,0.86390656
276,0.142857143,0.6669701
277,0.263157895,0.18946056
278,0.461538462,0.44413042
279,0.777777778,0.7267772
280,0.526315789,0.5946459
281,0,0.42500812
282,0,0.5602981
283,0.111111111,0.07534336
284,0.095238095,0.29174814
285,0.263157895,0.527491
286,0.71875,0.7038292
287,0.454545455,0.56595147
288,0.307692308,0.3272462
289,0.32,0.5248991
290,0.35,0.4789137
291,0.391304348,0.39063722
292,0.866666667,0.6620642
293,0.090909091,0.1734373
294,0.230769231,0.19007616
295,0.696969697,0.85407275
296,0.333333333,0.35033762
297,0.173913043,0.11437547
