"Observed","RF","LMM"
4,6.78251666666667,4.84275621083701
5,7.30048333333333,6.02762288627114
7,8.66631666666666,6.05827939159432
2,5.98816666666667,6.04429504575724
4,8.79146666666666,7.08183568333399
11,10.9721666666667,6.94201151411537
6,5.51413333333334,5.65159175329918
12,7.44468333333333,4.71763457906112
3,6.65903333333334,4.25527833768525
9,7.56078333333333,6.1547832093233
10,8.11338333333333,6.64225453858815
5,6.9254,5.56195274790027
7,7.43303333333333,4.48634555108361
10,7.5532,5.39689916042745
1,5.85366666666667,4.62977689492306
8,7.72063333333334,6.16671913881641
5,3.34533333333333,2.29207626423512
3,8.03256666666667,7.13892340733425
7,7.14223333333333,4.88886780781238
6,6.2297,4.00787970479892
3,7.1824,3.29649426946164
4,8.58678333333334,6.63517160192123
8,7.72465,5.42872999527723
4,8.30641666666667,5.81260749078157
4,6.48458333333333,6.03887444777083
2,2.51918333333333,2.03084557386493
4,6.93788333333333,5.90892580103883
12,8.44935,6.52243465085364
7,8.58335000000001,6.41675551320764
14,8.93688333333333,8.06899419444865
6,7.23238333333333,4.84829297569276
4,6.18935,4.60015763555627
1,6.99028333333333,5.04721752719525
6,7.10736666666666,4.58891516090867
6,6.57301666666667,4.57913469584925
11,9.17256666666666,7.04862555964526
6,6.2659,4.5231112496201
6,6.60876666666667,4.66488321413154
5,5.41085,5.35504636230998
11,10.9268666666667,6.63770347965199
8,5.04895,4.73029009960339
4,8.7465,6.13500064175199
7,6.9375,5.3480444277294
5,8.74266666666666,5.28976570789871
13,8.56443333333333,5.44038802152925
6,5.49866666666667,4.81959021416441
3,4.21936666666667,2.48312282311262
4,5.47008333333334,5.25397812961148
11,7.13355,5.221014695405
3,6.42716666666667,4.33832111020784
7,6.91413333333333,5.99783409199424
12,8.48699999999999,5.80386313874788
3,8.86338333333333,5.95077432967993
5,5.99128333333334,5.29213760979776
1,3.71011666666667,4.57519529504857
4,5.79611666666666,3.97941389505271
7,8.4526,4.65220218400637
7,5.88058333333334,4.05938122205056
1,10.1585666666667,6.87888760483995
11,7.09748333333333,5.42524825296979
13,8.85254999999999,4.8758677024349
11,13.2318166666667,6.25782083342481
7,6.76726666666667,5.62027909784369
10,7.35236666666667,5.62108821778957
6,7.0846,6.21350765323893
9,8.48616666666667,6.36581250725397
6,6.89056666666667,4.66865595477623
8,6.89508333333334,4.91392253782259
3,6.72128333333334,4.40981983679912
7,6.6569,4.40266416803432
15,9.87831666666666,6.26770273989973
2,5.66218333333333,5.20007022741112
12,8.92011666666666,6.51757679560443
15,8.41428333333334,6.56133879877905
9,8.05143333333333,5.42304040639059
6,8.05905,5.76659302059331
7,5.378,5.10680019706597
0,4.22323333333333,2.88195906264232
9,7.06088333333333,5.29463211882628
6,6.70638333333333,6.08700562918962
3,6.50583333333333,4.8865990479604
5,6.36185,4.03393461721175
9,12.8355666666667,6.56119326393978
1,4.39471666666666,3.68104401106912
2,2.54478333333333,-0.12211372257081
13,10.2479166666667,6.54793132906895
5,5.72475,4.7958307133665
2,7.22443333333333,6.18528255801596
5,6.02726666666667,4.84203463512515
8,7.28978333333334,4.28441284844756
16,8.36863333333333,6.93842998581594
6,5.94378333333334,6.09091621188268
4,5.1504,4.8139383610854
9,8.74151666666668,4.23721006307242
7,6.92521666666667,6.84175800831411
13,10.3463333333333,5.19537399999693
4,4.53953333333333,4.75564199542202
6,5.65908333333334,2.93052899290874
0,1.81126666666667,0.921947402980896
1,3.64175,3.45078042475511
7,6.57558333333333,5.01808137141579
1,6.9926,5.19842762501802
10,7.1925,4.37830932505397
9,5.18548333333333,5.55329255324226
9,6.8011,4.37303969964865
7,5.12854999999999,4.13175282440251
10,9.48373333333334,7.50672577835125
13,12.6208666666667,7.35034050792354
10,9.21328333333334,5.50370037620978
1,4.22636666666667,3.68184095988435
4,4.23833333333333,4.04149328472534
5,10.2460333333333,6.8995696133793
9,6.53259999999999,5.56453986107236
3,5.6494,4.45700802526791
3,4.84475,4.24171014300395
5,5.95401666666667,4.75750213171409
4,7.26158333333333,4.53876301738369
12,6.89043333333333,5.04373921912699
13,7.26816666666667,4.10472232423736
13,9.94673333333333,7.37740479178767
2,2.6057,1.21486999073485
6,6.6362,4.80033824366972
8,7.40773333333333,5.09514428840139
6,7.80466666666666,6.4383754719109
7,7.06893333333333,5.71971569008645
4,3.06436666666667,1.00702645901064
1,3.15675,6.96060557141839
1,2.8075,1.15047737422145
6,6.24490000000001,4.88197745148187
7,6.70403333333334,6.08894435678736
4,6.90325,5.40001381719965
2,4.9701,5.24797652579848
4,4.68250000000001,4.18890492610545
9,7.68445,5.41348466912679
5,6.7064,5.26071173928226
5,7.34645,5.14632250443968
4,7.0698,5.14491410285732
8,9.05258333333333,6.02661523451322
11,8.52055,6.42687266082615
4,8.0764,5.0722636088232
12,12.2387333333333,8.52789995929807
7,6.68055,4.2461425217636
11,7.51511666666666,6.60366091931499
9,7.54418333333334,6.11453878444029
8,5.95721666666666,5.07441772348754
13,7.55508333333333,6.30383527017388
4,8.68328333333333,6.46479383116057
7,7.18931666666667,6.68009677764149
5,6.37254999999999,5.29829077864147
12,11.7625166666667,7.25538153601365
13,9.22211666666666,4.85008499274683
5,6.95113333333333,5.9322846986767
0,2.05991666666667,1.02886858929292
5,7.84336666666666,6.58258828287853
8,6.31091666666667,5.79249807495283
13,8.3306,6.20808187344416
12,8.88703333333333,4.3449476303803
13,5.1039,4.57880743706336
7,8.55061666666666,6.04765795350198
4,5.90928333333334,5.18009510765448
8,8.30153333333334,6.1768513610901
8,8.9831,6.19509105583647
8,7.45646666666667,4.67732256261475
9,7.0269,5.21909738747327
6,8.61255,5.80146444824272
7,8.48918333333333,5.00754199389038
8,6.73696666666666,4.10334084046799
3,4.44255,4.12201394012391
11,6.73896666666667,4.83016956541491
4,6.54965,5.78579080266964
4,3.66883333333333,2.86632929679461
8,7.16645,5.90218000746657
8,5.37618333333334,4.55848328210606
3,9.96306666666666,6.69353534902923
2,6.78839999999999,6.39089586256365
9,6.3664,4.45957956493709
4,9.89905,7.18625596385275
10,6.92443333333333,4.5655402060822
4,6.45183333333333,5.79615548181391
7,10.3286666666667,6.82983704983144
10,9.32693333333333,3.57559817950688
3,5.62741666666667,4.6977496002212
6,7.14676666666667,6.18574807262424
5,5.81306666666667,5.64119168183532
6,7.27013333333333,5.39295305586418
3,7.58448333333333,6.67655376754478
6,8.7566,5.35964226509149
9,8.76745,6.54045960790522
7,5.62926666666666,4.94561023446247
6,5.7346,4.60539229280685
2,4.73616666666667,3.42324543001659
4,10.5677,6.11080667964699
6,7.49531666666667,4.77167087818689
18,12.4199833333333,7.75001343789971
6,5.41659999999999,5.43491414036293
3,5.32211666666667,4.60201326601399
12,8.3683,6.69196759357773
9,6.08051666666667,5.13828858951116
4,6.43971666666667,6.07384039601118
10,8.08766666666667,5.71483007294466
1,5.45766666666666,4.40376148912377
5,5.46131666666667,4.97927626251357
5,8.32316666666666,7.12517684711786
12,5.15115,4.45835385476352
15,7.97668333333333,6.68768856004129
5,4.85175,4.45524792156927
9,5.7128,3.96815329302341
8,7.87256666666667,5.67768165466886
2,4.88786666666667,4.05729121624254
7,5.99195,5.93453528163921
9,7.58916666666666,4.27094926851329
4,5.38908333333334,3.44958947631274
7,7.58865,4.17239478346834
14,8.28054999999999,5.47604895367945
8,7.1358,4.03449277839707
5,7.79896666666666,6.37377859436612
3,4.91695,4.53511511996386
4,9.59403333333334,6.53886124597873
5,7.78433333333333,5.60748273642428
7,5.5697,5.46813819640285
9,9.3086,5.40136717937801
7,6.32718333333333,5.17356610687569
8,9.8539,6.74162816378091
8,8.99351666666667,3.90075330597425
17,10.6546666666667,6.9389123639024
6,6.51465,4.94011665907284
8,8.48028333333334,6.44632283276739
4,6.29798333333334,5.24248289126811
3,8.09565,4.68767544526744
7,7.11051666666666,6.58095386648158
2,5.22191666666667,5.14795159900771
11,8.47286666666667,5.93970874243303
8,5.48563333333333,4.53244949885623
6,12.0313,7.08595209329827
5,6.79481666666666,5.16398191232136
3,6.9585,5.17784373710823
7,6.88116666666667,4.5989476867214
4,5.17428333333333,4.52863155248759
6,6.85035,6.51686733208935
6,5.9988,4.67931309188369
11,8.69281666666667,6.15832553530342
9,9.98131666666667,6.56960374571122
8,9.58115,3.73022765912402
5,7.01991666666667,4.18656669505471
7,7.96791666666667,6.33824035051446
5,7.78433333333333,5.60748273642428
5,7.56635,6.10557095833099
13,7.98663333333334,6.20731778316801
12,6.15595,4.48609313855709
10,8.32776666666667,6.66895534146907
1,0.845266666666667,0.632454589784835
12,7.61146666666667,5.63936115979052
1,4.22636666666667,3.68184095988435
4,6.197,4.78613959658897
7,6.50181666666667,4.36208579492228
13,6.67603333333333,5.10670766280007
3,3.02401666666667,1.06710481194623
10,7.21811666666666,5.3150370998609
6,8.20666666666667,7.58170731394292
6,6.66919999999999,5.54110722394113
12,8.75903333333333,5.36178756251728
4,6.06003333333333,6.10903412260791
4,5.3727,4.41333169913656
16,11.22595,7.21871638127306
10,10.554,6.75635696317641
11,6.8418,5.89031009642711
3,6.84158333333334,5.42121122310073
11,7.43441666666666,4.70957329961
7,5.54211666666666,4.83521231332689
2,9.3689,5.34381668971261
11,6.80138333333333,5.9275656859342
9,8.15508333333333,3.25328129197962
5,7.68766666666667,4.93986845124738
2,2.54478333333333,-0.12211372257081
10,10.5636666666667,6.12886640529271
9,6.6836,4.26396516481208
4,10.3261833333333,6.51139872641284
9,7.57578333333334,5.30158931859106
13,9.97255000000001,7.10817779283139
14,7.51115,5.29359050190858
4,8.34358333333333,5.79058130157777
7,5.62573333333333,4.22089194386845
5,7.57786666666667,5.58223343554042
4,1.73898333333333,-0.381103876973454
7,6.02825,5.45326829898882
6,6.60218333333333,4.60842499108867
17,10.1480833333333,7.18906909107052
12,11.717,7.80183555758497
13,5.7266,5.57486713278752
8,6.97478333333333,5.51216218672261
7,7.72413333333333,5.78641178448831
8,6.67935,5.17234876874908
3,5.74715,5.54572757256079
8,6.48506666666667,4.52161466077503
5,6.25956666666667,5.22605857611679
13,10.3287166666667,3.92863178013102
11,8.59343333333333,6.32283623691786
8,7.27943333333334,6.02185119697221
6,7.80466666666666,6.4383754719109
5,8.27648333333333,7.21279577237555
2,2.41688333333333,-0.334756778995234
15,8.54348333333333,5.68420285853277
3,7.44265,5.48164469440461
8,5.10475,3.62753861083044
5,6.47356666666667,6.15985818385419
2,1.76816666666667,0.661588834997547
18,9.32973333333333,6.16588234770098
10,8.9742,5.83534450891578
9,7.59778333333333,6.12838077725123
10,8.63795,6.6273452991425
6,9.10446666666666,3.61055533126749
10,7.88615,4.49904824434462
9,7.66596666666667,6.26316939889432
10,7.34913333333334,4.91052295595776
4,6.25668333333333,3.78561190251
5,7.0507,5.57801979485083
5,5.96438333333333,4.93955888070583
4,6.23476666666666,4.99564847799546
3,10.16895,6.42052926981525
7,8.02016666666667,5.25313959611876
1,5.92685,4.84759714702684
4,6.1341,4.50223853503641
1,0.955533333333333,-1.30928001368374
14,9.60666666666667,5.37856984996729
7,5.373,4.78711107401217
10,3.73045,4.29789537529002
4,7.9999,5.3023678752874
13,7.787,5.33581832896801
10,10.554,6.75635696317641
8,5.4249,5.02171733257701
3,7.83391666666667,4.79135671907467
3,2.91856666666666,2.85613022204359
8,5.96395000000001,4.26730663056412
4,6.05788333333334,4.79863061326694
5,5.66143333333333,4.7806716284391
13,6.23651666666667,4.20627465335377
8,5.85416666666667,4.48694611259591
12,7.83223333333333,5.62982021718548
4,7.44863333333333,4.67861680239915
4,3.11993333333333,3.36707401625073
11,7.4582,5.36327848515659
13,11.3072833333333,5.96305011880877
5,7.11135,5.33203601445859
12,8.77016666666666,5.41188630488274
17,9.78081666666667,4.08858252174829
2,4.16296666666667,3.26094995101345
12,6.09021666666666,4.97766969199697
7,5.45386666666666,5.07285167461418
11,6.8093,4.94158922628755
10,8.93941666666666,6.21106114705034
2,5.38418333333333,4.18585051437577
3,10.33225,6.74317280977432
7,5.45861666666666,4.46841936963756
9,9.98131666666667,6.56960374571122
7,4.57985,3.7756208684734
4,5.95506666666667,4.86939594218687
4,5.62011666666667,5.14644953893107
3,5.43528333333333,4.63322634499314
15,12.0155666666667,7.44978108596548
8,8.02646666666666,5.37193723557663
3,5.87425,4.45850769404996
5,7.54108333333333,5.23977597868538
3,10.0836833333333,6.25147832590423
8,8.25843333333333,5.65876672803393
7,6.42033333333334,5.50259868453141
9,7.43608333333333,6.94382194495468
4,6.10795,4.61978807358156
7,5.64801666666667,4.68648994216679
